"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13351; Unit: 255, Func:   3: Read Holding Registers"
"17","1.074923","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13352; Unit: 255, Func:   3: Read Holding Registers"
"18","0.003482","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13352; Unit: 255, Func:   3: Read Holding Registers"
"21","0.296335","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13353; Unit: 255, Func:   3: Read Holding Registers"
"22","0.005642","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13353; Unit: 255, Func:   3: Read Holding Registers"
"24","0.294537","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13354; Unit: 255, Func:   3: Read Holding Registers"
"25","0.003552","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13354; Unit: 255, Func:   3: Read Holding Registers"
"27","0.296487","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13355; Unit: 255, Func:   3: Read Holding Registers"
"28","0.005518","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13355; Unit: 255, Func:   3: Read Holding Registers"
"43","1.095191","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13356; Unit: 255, Func:   3: Read Holding Registers"
"44","0.005548","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13356; Unit: 255, Func:   3: Read Holding Registers"
"48","0.294232","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13357; Unit: 255, Func:   3: Read Holding Registers"
"49","0.021760","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13357; Unit: 255, Func:   3: Read Holding Registers"
"52","0.278781","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13358; Unit: 255, Func:   3: Read Holding Registers"
"53","0.020595","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13358; Unit: 255, Func:   3: Read Holding Registers"
"59","0.279395","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13359; Unit: 255, Func:   3: Read Holding Registers"
"60","0.036724","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13359; Unit: 255, Func:   3: Read Holding Registers"
"87","1.064103","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13360; Unit: 255, Func:   3: Read Holding Registers"
"88","0.032091","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13360; Unit: 255, Func:   3: Read Holding Registers"
"90","0.267760","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13361; Unit: 255, Func:   3: Read Holding Registers"
"91","0.010722","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13361; Unit: 255, Func:   3: Read Holding Registers"
"93","0.289198","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13362; Unit: 255, Func:   3: Read Holding Registers"
"94","0.016782","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13362; Unit: 255, Func:   3: Read Holding Registers"
"98","0.283644","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13363; Unit: 255, Func:   3: Read Holding Registers"
"99","0.013728","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13363; Unit: 255, Func:   3: Read Holding Registers"
"114","1.087060","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13364; Unit: 255, Func:   3: Read Holding Registers"
"115","0.007971","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans: 13364; Unit: 255, Func:   3: Read Holding Registers"
"117","0.304942","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans: 13365; Unit: 255, Func:   3: Read Holding Registers"
