"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9283; Unit: 255, Func:   3: Read Holding Registers"
"7","0.008391","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9283; Unit: 255, Func:   3: Read Holding Registers"
"18","0.291875","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9284; Unit: 255, Func:   3: Read Holding Registers"
"19","0.008189","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9284; Unit: 255, Func:   3: Read Holding Registers"
"28","0.291929","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9285; Unit: 255, Func:   3: Read Holding Registers"
"29","0.005509","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9285; Unit: 255, Func:   3: Read Holding Registers"
"40","0.294820","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9286; Unit: 255, Func:   3: Read Holding Registers"
"41","0.005093","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9286; Unit: 255, Func:   3: Read Holding Registers"
"50","1.095254","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9287; Unit: 255, Func:   3: Read Holding Registers"
"51","0.007678","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9287; Unit: 255, Func:   3: Read Holding Registers"
"54","0.292669","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9288; Unit: 255, Func:   3: Read Holding Registers"
"55","0.006515","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9288; Unit: 255, Func:   3: Read Holding Registers"
"68","0.293804","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9289; Unit: 255, Func:   3: Read Holding Registers"
"71","0.019073","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9289; Unit: 255, Func:   3: Read Holding Registers"
"115","0.280566","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9290; Unit: 255, Func:   3: Read Holding Registers"
"122","0.033239","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9290; Unit: 255, Func:   3: Read Holding Registers"
"359","1.067406","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9291; Unit: 255, Func:   3: Read Holding Registers"
"362","0.016032","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9291; Unit: 255, Func:   3: Read Holding Registers"
"423","0.284330","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9292; Unit: 255, Func:   3: Read Holding Registers"
"426","0.013664","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9292; Unit: 255, Func:   3: Read Holding Registers"
"483","0.286171","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9293; Unit: 255, Func:   3: Read Holding Registers"
"484","0.014558","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9293; Unit: 255, Func:   3: Read Holding Registers"
"545","0.287244","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9294; Unit: 255, Func:   3: Read Holding Registers"
"548","0.014670","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9294; Unit: 255, Func:   3: Read Holding Registers"
"800","1.084736","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9295; Unit: 255, Func:   3: Read Holding Registers"
"808","0.026830","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9295; Unit: 255, Func:   3: Read Holding Registers"
"871","0.272735","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9296; Unit: 255, Func:   3: Read Holding Registers"
"874","0.009832","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9296; Unit: 255, Func:   3: Read Holding Registers"
"924","0.290645","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9297; Unit: 255, Func:   3: Read Holding Registers"
"925","0.004723","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9297; Unit: 255, Func:   3: Read Holding Registers"
"996","0.295032","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9298; Unit: 255, Func:   3: Read Holding Registers"
"999","0.018648","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9298; Unit: 255, Func:   3: Read Holding Registers"
"1216","1.081920","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9299; Unit: 255, Func:   3: Read Holding Registers"
"1221","0.023139","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9299; Unit: 255, Func:   3: Read Holding Registers"
"1275","0.276876","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9300; Unit: 255, Func:   3: Read Holding Registers"
"1282","0.022155","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9300; Unit: 255, Func:   3: Read Holding Registers"
"1347","0.278014","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9301; Unit: 255, Func:   3: Read Holding Registers"
"1352","0.015102","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9301; Unit: 255, Func:   3: Read Holding Registers"
"1414","0.285182","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9302; Unit: 255, Func:   3: Read Holding Registers"
"1421","0.032152","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9302; Unit: 255, Func:   3: Read Holding Registers"
"1639","1.072403","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9303; Unit: 255, Func:   3: Read Holding Registers"
"1643","0.016257","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9303; Unit: 255, Func:   3: Read Holding Registers"
"1705","0.280337","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9304; Unit: 255, Func:   3: Read Holding Registers"
"1710","0.022723","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9304; Unit: 255, Func:   3: Read Holding Registers"
"1773","0.276768","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9305; Unit: 255, Func:   3: Read Holding Registers"
"1780","0.037235","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9305; Unit: 255, Func:   3: Read Holding Registers"
"1839","0.262857","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9306; Unit: 255, Func:   3: Read Holding Registers"
"1844","0.028094","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9306; Unit: 255, Func:   3: Read Holding Registers"
"2065","1.073088","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9307; Unit: 255, Func:   3: Read Holding Registers"
"2069","0.011333","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9307; Unit: 255, Func:   3: Read Holding Registers"
"2130","0.288361","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9308; Unit: 255, Func:   3: Read Holding Registers"
"2133","0.017750","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9308; Unit: 255, Func:   3: Read Holding Registers"
"2195","0.282531","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9309; Unit: 255, Func:   3: Read Holding Registers"
"2200","0.023048","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9309; Unit: 255, Func:   3: Read Holding Registers"
"2257","0.276646","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9310; Unit: 255, Func:   3: Read Holding Registers"
"2260","0.014751","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9310; Unit: 255, Func:   3: Read Holding Registers"
"2482","1.086109","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9311; Unit: 255, Func:   3: Read Holding Registers"
"2488","0.018580","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9311; Unit: 255, Func:   3: Read Holding Registers"
"2550","0.281509","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9312; Unit: 255, Func:   3: Read Holding Registers"
"2555","0.017880","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9312; Unit: 255, Func:   3: Read Holding Registers"
"2621","0.282272","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9313; Unit: 255, Func:   3: Read Holding Registers"
"2631","0.039722","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9313; Unit: 255, Func:   3: Read Holding Registers"
"2694","0.260377","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9314; Unit: 255, Func:   3: Read Holding Registers"
"2697","0.014381","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9314; Unit: 255, Func:   3: Read Holding Registers"
"2943","1.086290","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9315; Unit: 255, Func:   3: Read Holding Registers"
"2949","0.021665","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9315; Unit: 255, Func:   3: Read Holding Registers"
"3000","0.278003","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9316; Unit: 255, Func:   3: Read Holding Registers"
"3005","0.013013","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9316; Unit: 255, Func:   3: Read Holding Registers"
"3068","0.287130","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9317; Unit: 255, Func:   3: Read Holding Registers"
"3073","0.023893","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9317; Unit: 255, Func:   3: Read Holding Registers"
"3138","0.276242","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9318; Unit: 255, Func:   3: Read Holding Registers"
"3143","0.017821","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9318; Unit: 255, Func:   3: Read Holding Registers"
"3373","1.082931","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9319; Unit: 255, Func:   3: Read Holding Registers"
"3380","0.038177","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9319; Unit: 255, Func:   3: Read Holding Registers"
