"No.","Time","Source","Destination","Protocol","Length","Info"
"16","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   820; Unit: 255, Func:   3: Read Holding Registers"
"21","0.045016","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   820; Unit: 255, Func:   3: Read Holding Registers"
"129","1.055424","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   821; Unit: 255, Func:   3: Read Holding Registers"
"133","0.031878","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   821; Unit: 255, Func:   3: Read Holding Registers"
"170","0.268196","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   822; Unit: 255, Func:   3: Read Holding Registers"
"173","0.044556","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   822; Unit: 255, Func:   3: Read Holding Registers"
"196","0.255480","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   823; Unit: 255, Func:   3: Read Holding Registers"
"197","0.019550","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   823; Unit: 255, Func:   3: Read Holding Registers"
"223","0.280913","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   824; Unit: 255, Func:   3: Read Holding Registers"
"226","0.028155","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   824; Unit: 255, Func:   3: Read Holding Registers"
"310","1.072078","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   825; Unit: 255, Func:   3: Read Holding Registers"
"311","0.027626","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   825; Unit: 255, Func:   3: Read Holding Registers"
"332","0.272437","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   826; Unit: 255, Func:   3: Read Holding Registers"
"338","0.049815","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   826; Unit: 255, Func:   3: Read Holding Registers"
"355","0.250594","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   827; Unit: 255, Func:   3: Read Holding Registers"
"358","0.034556","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   827; Unit: 255, Func:   3: Read Holding Registers"
"375","0.265597","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   828; Unit: 255, Func:   3: Read Holding Registers"
"378","0.041416","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   828; Unit: 255, Func:   3: Read Holding Registers"
"432","1.059164","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   829; Unit: 255, Func:   3: Read Holding Registers"
"433","0.004933","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   829; Unit: 255, Func:   3: Read Holding Registers"
"442","0.294908","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   830; Unit: 255, Func:   3: Read Holding Registers"
"443","0.008560","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   830; Unit: 255, Func:   3: Read Holding Registers"
"451","0.291703","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   831; Unit: 255, Func:   3: Read Holding Registers"
"452","0.005539","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   831; Unit: 255, Func:   3: Read Holding Registers"
"463","0.294464","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   832; Unit: 255, Func:   3: Read Holding Registers"
"464","0.004682","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   832; Unit: 255, Func:   3: Read Holding Registers"
"509","1.096276","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   833; Unit: 255, Func:   3: Read Holding Registers"
"511","0.008001","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   833; Unit: 255, Func:   3: Read Holding Registers"
"522","0.291782","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   834; Unit: 255, Func:   3: Read Holding Registers"
"525","0.028182","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   834; Unit: 255, Func:   3: Read Holding Registers"
"532","0.271762","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   835; Unit: 255, Func:   3: Read Holding Registers"
"533","0.015384","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   835; Unit: 255, Func:   3: Read Holding Registers"
"542","0.284789","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   836; Unit: 255, Func:   3: Read Holding Registers"
"543","0.007300","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   836; Unit: 255, Func:   3: Read Holding Registers"
"595","1.093494","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   837; Unit: 255, Func:   3: Read Holding Registers"
