"No.","Time","Source","Destination","Protocol","Length","Info"
"9","0.000000","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     1; Unit:   1, Func:   3: Read Holding Registers"
"21","0.024457","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     1; Unit:   1, Func:   3: Read Holding Registers"
"24","0.971611","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     2; Unit:   1, Func:   6: Write Single Register"
"28","0.003598","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     2; Unit:   1, Func:   6: Write Single Register"
"30","0.997483","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     3; Unit:   1, Func:   3: Read Holding Registers"
"34","0.005859","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     3; Unit:   1, Func:   3: Read Holding Registers"
"36","0.993650","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     4; Unit:   1, Func:   6: Write Single Register"
"40","0.004071","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     4; Unit:   1, Func:   6: Write Single Register"
"42","0.996033","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     5; Unit:   1, Func:   3: Read Holding Registers"
"46","0.002195","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     5; Unit:   1, Func:   3: Read Holding Registers"
"48","0.998277","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     6; Unit:   1, Func:   6: Write Single Register"
"52","0.003894","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     6; Unit:   1, Func:   6: Write Single Register"
"54","0.996474","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     7; Unit:   1, Func:   3: Read Holding Registers"
"58","0.002861","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     7; Unit:   1, Func:   3: Read Holding Registers"
"60","0.997366","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     8; Unit:   1, Func:   6: Write Single Register"
"64","0.002815","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     8; Unit:   1, Func:   6: Write Single Register"
"66","0.997218","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     9; Unit:   1, Func:   3: Read Holding Registers"
"70","0.002048","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     9; Unit:   1, Func:   3: Read Holding Registers"
"72","0.998671","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    10; Unit:   1, Func:   6: Write Single Register"
"76","0.003359","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    10; Unit:   1, Func:   6: Write Single Register"
"78","0.998524","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    11; Unit:   1, Func:   3: Read Holding Registers"
"82","0.003387","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    11; Unit:   1, Func:   3: Read Holding Registers"
"84","0.995644","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    12; Unit:   1, Func:   6: Write Single Register"
"88","0.003596","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    12; Unit:   1, Func:   6: Write Single Register"
"90","1.067808","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    13; Unit:   1, Func:   3: Read Holding Registers"
"94","0.036821","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    13; Unit:   1, Func:   3: Read Holding Registers"
"96","0.892934","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    14; Unit:   1, Func:   6: Write Single Register"
"100","0.003067","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    14; Unit:   1, Func:   6: Write Single Register"
"102","0.995867","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    15; Unit:   1, Func:   3: Read Holding Registers"
"106","0.002343","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    15; Unit:   1, Func:   3: Read Holding Registers"
"108","1.000359","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    16; Unit:   1, Func:   6: Write Single Register"
"112","0.003641","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    16; Unit:   1, Func:   6: Write Single Register"
"114","0.994271","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    17; Unit:   1, Func:   3: Read Holding Registers"
"118","0.002076","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    17; Unit:   1, Func:   3: Read Holding Registers"
"120","0.997845","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    18; Unit:   1, Func:   6: Write Single Register"
"124","0.003022","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    18; Unit:   1, Func:   6: Write Single Register"
"126","0.997382","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    19; Unit:   1, Func:   3: Read Holding Registers"
"130","0.002932","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    19; Unit:   1, Func:   3: Read Holding Registers"
"132","0.997457","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    20; Unit:   1, Func:   6: Write Single Register"
"136","0.003188","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    20; Unit:   1, Func:   6: Write Single Register"
"138","0.997251","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    21; Unit:   1, Func:   3: Read Holding Registers"
"142","0.002536","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    21; Unit:   1, Func:   3: Read Holding Registers"
"144","0.997094","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    22; Unit:   1, Func:   6: Write Single Register"
"148","0.001773","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    22; Unit:   1, Func:   6: Write Single Register"
"150","0.988206","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    23; Unit:   1, Func:   3: Read Holding Registers"
"154","0.002756","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    23; Unit:   1, Func:   3: Read Holding Registers"
"156","0.997859","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    24; Unit:   1, Func:   6: Write Single Register"
"160","0.002323","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    24; Unit:   1, Func:   6: Write Single Register"
"162","0.998949","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    25; Unit:   1, Func:   3: Read Holding Registers"
"166","0.002293","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    25; Unit:   1, Func:   3: Read Holding Registers"
"168","0.996750","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    26; Unit:   1, Func:   6: Write Single Register"
"172","0.002505","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    26; Unit:   1, Func:   6: Write Single Register"
"174","0.997468","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    27; Unit:   1, Func:   3: Read Holding Registers"
"178","0.001576","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    27; Unit:   1, Func:   3: Read Holding Registers"
"180","0.998732","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    28; Unit:   1, Func:   6: Write Single Register"
"184","0.001929","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    28; Unit:   1, Func:   6: Write Single Register"
"186","0.998398","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    29; Unit:   1, Func:   3: Read Holding Registers"
"190","0.002253","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    29; Unit:   1, Func:   3: Read Holding Registers"
"192","0.997671","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    30; Unit:   1, Func:   6: Write Single Register"
"196","0.001897","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    30; Unit:   1, Func:   6: Write Single Register"
"198","0.998530","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    31; Unit:   1, Func:   3: Read Holding Registers"
"202","0.003508","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    31; Unit:   1, Func:   3: Read Holding Registers"
"204","0.996981","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    32; Unit:   1, Func:   6: Write Single Register"
"208","0.003368","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    32; Unit:   1, Func:   6: Write Single Register"
"210","0.996362","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    33; Unit:   1, Func:   3: Read Holding Registers"
"214","0.001901","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    33; Unit:   1, Func:   3: Read Holding Registers"
"216","0.998413","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    34; Unit:   1, Func:   6: Write Single Register"
"220","0.002476","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    34; Unit:   1, Func:   6: Write Single Register"
"222","0.998250","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    35; Unit:   1, Func:   3: Read Holding Registers"
"226","0.002607","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    35; Unit:   1, Func:   3: Read Holding Registers"
"228","0.997413","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    36; Unit:   1, Func:   6: Write Single Register"
"232","0.002264","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    36; Unit:   1, Func:   6: Write Single Register"
"234","0.998124","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    37; Unit:   1, Func:   3: Read Holding Registers"
"238","0.002613","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    37; Unit:   1, Func:   3: Read Holding Registers"
"240","0.997329","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    38; Unit:   1, Func:   6: Write Single Register"
"244","0.001718","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    38; Unit:   1, Func:   6: Write Single Register"
"246","0.998258","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    39; Unit:   1, Func:   3: Read Holding Registers"
"250","0.002178","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    39; Unit:   1, Func:   3: Read Holding Registers"
"252","0.998027","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    40; Unit:   1, Func:   6: Write Single Register"
