"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.000000","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     1; Unit:   1, Func:   3: Read Holding Registers"
"20","0.005132","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     1; Unit:   1, Func:   3: Read Holding Registers"
"25","0.994244","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     2; Unit:   1, Func:   6: Write Single Register"
"29","0.002552","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     2; Unit:   1, Func:   6: Write Single Register"
"33","0.997647","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     3; Unit:   1, Func:   3: Read Holding Registers"
"37","0.002886","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     3; Unit:   1, Func:   3: Read Holding Registers"
"39","0.997230","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     4; Unit:   1, Func:   6: Write Single Register"
"43","0.002499","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     4; Unit:   1, Func:   6: Write Single Register"
"45","0.997746","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     5; Unit:   1, Func:   3: Read Holding Registers"
"49","0.002399","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     5; Unit:   1, Func:   3: Read Holding Registers"
"51","0.997818","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     6; Unit:   1, Func:   6: Write Single Register"
"55","0.002174","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     6; Unit:   1, Func:   6: Write Single Register"
"57","0.996129","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     7; Unit:   1, Func:   3: Read Holding Registers"
"61","0.001737","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     7; Unit:   1, Func:   3: Read Holding Registers"
"63","0.999096","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     8; Unit:   1, Func:   6: Write Single Register"
"67","0.002515","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:     8; Unit:   1, Func:   6: Write Single Register"
"69","0.997195","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:     9; Unit:   1, Func:   3: Read Holding Registers"
"73","0.002880","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:     9; Unit:   1, Func:   3: Read Holding Registers"
"75","0.997956","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    10; Unit:   1, Func:   6: Write Single Register"
"79","0.002869","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    10; Unit:   1, Func:   6: Write Single Register"
"81","0.997668","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    11; Unit:   1, Func:   3: Read Holding Registers"
"85","0.002370","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    11; Unit:   1, Func:   3: Read Holding Registers"
"87","0.997031","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    12; Unit:   1, Func:   6: Write Single Register"
"91","0.002292","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    12; Unit:   1, Func:   6: Write Single Register"
"93","0.998003","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    13; Unit:   1, Func:   3: Read Holding Registers"
"97","0.001677","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    13; Unit:   1, Func:   3: Read Holding Registers"
"99","0.998470","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    14; Unit:   1, Func:   6: Write Single Register"
"103","0.002321","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    14; Unit:   1, Func:   6: Write Single Register"
"105","0.997938","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    15; Unit:   1, Func:   3: Read Holding Registers"
"109","0.002942","172.20.0.11","172.20.0.12","Modbus/TCP","77","Response: Trans:    15; Unit:   1, Func:   3: Read Holding Registers"
"111","0.997441","172.20.0.12","172.20.0.11","Modbus/TCP","78","   Query: Trans:    16; Unit:   1, Func:   6: Write Single Register"
"115","0.002977","172.20.0.11","172.20.0.12","Modbus/TCP","78","Response: Trans:    16; Unit:   1, Func:   6: Write Single Register"
