"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.000000","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     0; Unit:   1, Func:   3: Read Holding Registers"
"14","0.002602","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:     0; Unit:   1, Func:   3: Read Holding Registers"
"19","0.996012","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     1; Unit:   1, Func:   6: Write Single Register"
"20","0.000941","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:     1; Unit:   1, Func:   6: Write Single Register"
"22","0.999072","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     2; Unit:   1, Func:   3: Read Holding Registers"
"23","0.000980","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:     2; Unit:   1, Func:   3: Read Holding Registers"
"25","0.999551","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     3; Unit:   1, Func:   6: Write Single Register"
"26","0.000971","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:     3; Unit:   1, Func:   6: Write Single Register"
"28","0.998772","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     4; Unit:   1, Func:   3: Read Holding Registers"
"29","0.001217","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:     4; Unit:   1, Func:   3: Read Holding Registers"
"31","0.999253","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     5; Unit:   1, Func:   6: Write Single Register"
"32","0.000853","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:     5; Unit:   1, Func:   6: Write Single Register"
"34","0.997275","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     6; Unit:   1, Func:   3: Read Holding Registers"
"35","0.000740","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:     6; Unit:   1, Func:   3: Read Holding Registers"
"37","1.000255","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     7; Unit:   1, Func:   6: Write Single Register"
"38","0.000990","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:     7; Unit:   1, Func:   6: Write Single Register"
"40","0.998817","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     8; Unit:   1, Func:   3: Read Holding Registers"
"41","0.001154","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:     8; Unit:   1, Func:   3: Read Holding Registers"
"43","0.999956","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:     9; Unit:   1, Func:   6: Write Single Register"
"44","0.001086","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:     9; Unit:   1, Func:   6: Write Single Register"
"46","0.999031","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    10; Unit:   1, Func:   3: Read Holding Registers"
"47","0.000889","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:    10; Unit:   1, Func:   3: Read Holding Registers"
"49","0.998404","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    11; Unit:   1, Func:   6: Write Single Register"
"50","0.001041","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:    11; Unit:   1, Func:   6: Write Single Register"
"52","0.999099","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    12; Unit:   1, Func:   3: Read Holding Registers"
"53","0.000720","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:    12; Unit:   1, Func:   3: Read Holding Registers"
"55","0.999887","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    13; Unit:   1, Func:   6: Write Single Register"
"56","0.000826","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:    13; Unit:   1, Func:   6: Write Single Register"
"58","0.999778","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    14; Unit:   1, Func:   3: Read Holding Registers"
"59","0.001009","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:    14; Unit:   1, Func:   3: Read Holding Registers"
"61","0.999174","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    15; Unit:   1, Func:   6: Write Single Register"
"62","0.001167","172.20.0.10","172.20.0.11","Modbus/TCP","78","Response: Trans:    15; Unit:   1, Func:   6: Write Single Register"
"64","0.998816","172.20.0.11","172.20.0.10","Modbus/TCP","78","   Query: Trans:    16; Unit:   1, Func:   3: Read Holding Registers"
"65","0.000849","172.20.0.10","172.20.0.11","Modbus/TCP","77","Response: Trans:    16; Unit:   1, Func:   3: Read Holding Registers"
