"No.","Time","Source","Destination","Protocol","Length","Info"
"21","0.000000","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   325; Unit: 255, Func:   3: Read Holding Registers"
"22","0.006547","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   325; Unit: 255, Func:   3: Read Holding Registers"
"32","0.293530","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   326; Unit: 255, Func:   3: Read Holding Registers"
"33","0.006677","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   326; Unit: 255, Func:   3: Read Holding Registers"
"43","0.293126","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   327; Unit: 255, Func:   3: Read Holding Registers"
"44","0.004788","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   327; Unit: 255, Func:   3: Read Holding Registers"
"59","0.295700","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   328; Unit: 255, Func:   3: Read Holding Registers"
"60","0.004269","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   328; Unit: 255, Func:   3: Read Holding Registers"
"96","1.096490","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   329; Unit: 255, Func:   3: Read Holding Registers"
"97","0.006628","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   329; Unit: 255, Func:   3: Read Holding Registers"
"100","0.292974","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   330; Unit: 255, Func:   3: Read Holding Registers"
"101","0.007068","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   330; Unit: 255, Func:   3: Read Holding Registers"
"107","0.293343","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   331; Unit: 255, Func:   3: Read Holding Registers"
"114","0.036604","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   331; Unit: 255, Func:   3: Read Holding Registers"
"155","0.263461","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   332; Unit: 255, Func:   3: Read Holding Registers"
"164","0.035218","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   332; Unit: 255, Func:   3: Read Holding Registers"
"400","1.065137","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   333; Unit: 255, Func:   3: Read Holding Registers"
"404","0.011969","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   333; Unit: 255, Func:   3: Read Holding Registers"
"472","0.287969","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   334; Unit: 255, Func:   3: Read Holding Registers"
"481","0.047125","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   334; Unit: 255, Func:   3: Read Holding Registers"
"539","0.253430","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   335; Unit: 255, Func:   3: Read Holding Registers"
"546","0.029836","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   335; Unit: 255, Func:   3: Read Holding Registers"
"626","0.269956","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   336; Unit: 255, Func:   3: Read Holding Registers"
"633","0.026039","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   336; Unit: 255, Func:   3: Read Holding Registers"
"907","1.079184","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   337; Unit: 255, Func:   3: Read Holding Registers"
"913","0.015936","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   337; Unit: 255, Func:   3: Read Holding Registers"
"967","0.279525","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   338; Unit: 255, Func:   3: Read Holding Registers"
"973","0.018465","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   338; Unit: 255, Func:   3: Read Holding Registers"
"1035","0.281669","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   339; Unit: 255, Func:   3: Read Holding Registers"
"1040","0.017326","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   339; Unit: 255, Func:   3: Read Holding Registers"
"1104","0.282978","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   340; Unit: 255, Func:   3: Read Holding Registers"
"1109","0.023762","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   340; Unit: 255, Func:   3: Read Holding Registers"
"1337","1.077173","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   341; Unit: 255, Func:   3: Read Holding Registers"
"1345","0.032831","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   341; Unit: 255, Func:   3: Read Holding Registers"
